eeschema (2013-mar-13)-testing  >> Creation date: čet 09 maj 2013 02:17:13 CEST
#Cmp ( order = Reference )
| C1         100nF                           ; SM0603_Capa ;             
| C2         100nF                           ; SM0603_Capa ;             
| C3         100nF                           ; SM0603_Capa ;             
| C4         100nF                           ; SM0603_Capa ;             
| C5         100nF                           ; SM0603_Capa ;             
| C6         100nF                           ; SM0603_Capa ;             
| C7         1nF                             ; SM0603_Capa ;             
| C8         10nF                            ; SM0603_Capa ;             
| C9         10nF                            ; SM0603_Capa ;             
| C10        1nF                             ; SM0603_Capa ;             
| C11        47uF 6.3V   ~                   ; SM1210      ; ~           
| C12        22pF                            ; SM0603_Capa ;             
| C13        22pF                            ; SM0603_Capa ;             
| C14        22pF                            ; SM0603_Capa ;             
| C15        22pF                            ; SM0603_Capa ;             
| C16        100nF                           ; SM0603_Capa ;             
| C17        22pF                            ; SM0603_Capa ;             
| C18        22pF                            ; SM0603_Capa ;             
| C19        100nF       ~                   ; SM0603_Capa ; ~           
| C20        100nF       ~                   ; SM0603_Capa ; ~           
| C21        100nF                           ; SM0603_Capa ;             
| C22        10uF 6.3V                       ; SM0805      ;             
| C23        100nF                           ; SM0603_Capa ;             
| C24        10uF 6.3V                       ; SM0805      ;             
| C25        10uF 35V                        ; SM1206      ;             
| C26        100nF                           ; SM0603_Capa ;             
| C27        100nF                           ; SM0603_Capa ;             
| C28        2200uF 35V                      ; CP_16x25mm  ;             
| C29        2200uF 35V                      ; CP_16x25mm  ;             
| C30        10uF 35V                        ; SM1206      ;             
| C31        220pF                           ; SM0603_Capa ;             
| C32        22nF                            ; SM0603_Capa ;             
| C33        100uF 10V                       ; c_elec_6.3x5.3;             
| C34        100uF 10V                       ; c_elec_6.3x5.3;             
| C35        100nF                           ; SM0603_Capa ;             
| C36        100nF                           ; SM0603_Capa ;             
| C37        100nF                           ; SM0603_Capa ;             
| C38        10uF 6.3V                       ; SM0805      ;             
| C39        100nF                           ; SM0603_Capa ;             
| C40        10uF 6.3V                       ; SM0805      ;             
| C41        100nF                           ; SM0603_Capa ;             
| C42        100nF                           ; SM0603_Capa ;             
| C43        100nF                           ; SM0603_Capa ;             
| C44        100uF 50V                       ; c_elec_8x10 ;             
| C45        100nF                           ; SM0603_Capa ;             
| C46        100nF                           ; SM0603_Capa ;             
| C47        100nF                           ; SM0603_Capa ;             
| C48        100uF 50V                       ; c_elec_8x10 ;             
| C49        100nF                           ; SM0603_Capa ;             
| C50        100nF                           ; SM0603_Capa ;             
| C51        220nF                           ; SM0603_Capa ;             
| C52        220nF                           ; SM0603_Capa ;             
| C53        100nF                           ; SM0603_Capa ;             
| C54        100nF                           ; SM0603_Capa ;             
| C55        100nF                           ; SM0603_Capa ;             
| C56        10uF 6.3V                       ; SM0805      ;             
| C57        100nF                           ; SM0603_Capa ;             
| C58        10uF 6.3V                       ; SM0805      ;             
| C59        100nF                           ; SM0603_Capa ;             
| C60        100nF                           ; SM0603_Capa ;             
| C61        100nF                           ; SM0603_Capa ;             
| C62        100uF 50V                       ; c_elec_8x10 ;             
| C63        100nF                           ; SM0603_Capa ;             
| C64        100nF                           ; SM0603_Capa ;             
| C65        100nF                           ; SM0603_Capa ;             
| C66        100uF 50V                       ; c_elec_8x10 ;             
| C67        100nF                           ; SM0603_Capa ;             
| C68        100nF                           ; SM0603_Capa ;             
| C69        220nF                           ; SM0603_Capa ;             
| C70        220nF                           ; SM0603_Capa ;             
| C71        10nF                            ; SM0603_Capa ;             
| C72        10nF                            ; SM0603_Capa ;             
| C73        10nF                            ; SM0603_Capa ;             
| CON1       BARREL_JACK                     ; SMPowerSocket;             
| D1         12V                             ; SOD323(F)   ;             
| D2         12V                             ; SOD323(F)   ;             
| D3         60V@1.5A                        ; DO-214AA(SMB);             
| D4         60V@1.5A                        ; DO-214AA(SMB);             
| D5         Red                             ; LED-1206    ;             
| D6         Red                             ; LED-1206    ;             
| D7         30V@1A                          ; SOD323(F)   ;             
| D8         30V@1A                          ; SOD323(F)   ;             
| D9         60V@1.5A                        ; DO-214AA(SMB);             
| D10        Orange                          ; LED-1206    ;             
| D11        25V@2A                          ; SOD323(F)   ;             
| D12        Red                             ; LED-1206    ;             
| D13        Red                             ; LED-1206    ;             
| D14        Red                             ; LED-1206    ;             
| D15        Red                             ; LED-1206    ;             
| D16        Green                           ; LED-1206    ;             
| D17        Green                           ; LED-1206    ;             
| D18        Green                           ; LED-1206    ;             
| D19        DIODESCH                        ; SOD323(F)   ;             
| D20        DIODESCH                        ; SOD323(F)   ;             
| D21        DIODESCH                        ; SOD323(F)   ;             
| D22        Blue        ~                   ; LED-1206    ; ~           
| F1         3.15A                           ; SM0603      ;             
| IC1        LPC1758                         ; LQFP80-SOT315;             
| J1         USB                             ; USB_B_smd   ;             
| J2         CTC1                            ; RAST5-4     ;             
| J3         CTC2                            ; RAST5-4     ;             
| J4         Ext Fan                         ; SIL-2       ;             
| J5         Drv Fan                         ; SIL-2       ;             
| J6         Temp                            ; SIL-3       ;             
| J7         M_X                             ; RAST5-4     ;             
| J8         M_Y                             ; RAST5-4     ;             
| J9         HDR1X6H                         ; HDR1X6H     ;             
| J10        HDR1X6H                         ; HDR1X6H     ;             
| J11        M_Z                             ; RAST5-4     ;             
| J12        M_E                             ; RAST5-4     ;             
| J13        HDR1X6H                         ; HDR1X6H     ;             
| J14        HDR1X6H                         ; HDR1X6H     ;             
| J15        RJ11                            ; RJ11_6-4_smd;             
| J16        RJ11                            ; RJ11_6-4_smd;             
| J17        RJ11                            ; RJ11_6-4_smd;             
| J18        HDR1X6H                         ; HDR1X6H     ;             
| J19        HDR1X6H                         ; HDR1X6H     ;             
| J20        JTAG                            ; VASCH10x2   ;             
| J21        EXPANSION                       ; SIL-15      ;             
| J22        EXPANSION                       ; SIL-15      ;             
| L1         470R@100MHz                     ; SM0603      ;             
| L2         470R@100MHz                     ; SM0603      ;             
| L3         470R@100MHz                     ; SM0603      ;             
| L4         470R@100MHz                     ; SM0603      ;             
| L5         470R@100MHz                     ; SM0603      ;             
| L6         470R@100MHz                     ; SM0603      ;             
| L7         470R@100MHz                     ; SM0603      ;             
| L8         470R@100MHz                     ; SM0603      ;             
| L9         470R@100MHz                     ; SM0603      ;             
| L10        470R@100MHz                     ; SM0603      ;             
| L11        470R@100MHz                     ; SM0603      ;             
| L12        470R@100MHz                     ; SM0603      ;             
| L13        33uH 1.5Adc                     ; SDR1006     ;             
| LS1        Buzzer                          ; BUZZER      ;             
| P6         10k                             ; PVZ2A       ;             
| P7         10k                             ; PVZ2A       ;             
| P8         10k                             ; PVZ2A       ;             
| P9         10k                             ; PVZ2A       ;             
| Q1         P                               ; SOT23       ;             
| Q2         N                               ; SOT323      ;             
| Q3         P                               ; SOT23       ;             
| Q4         P                               ; SOT23       ;             
| Q5         N                               ; SOT323      ;             
| Q6         N                               ; SOT1220     ;             
| Q7         N                               ; SOT323      ;             
| Q8         N                               ; SOT1220     ;             
| Q9         N                               ; SOT323      ;             
| Q10        N                               ; SOT323      ;             
| Q11        N                               ; SOT323      ;             
| Q12        N                               ; SOT323      ;             
| Q13        N                               ; SOT323      ;             
| R1         100R                            ; SM0603_Resistor;             
| R2         100R                            ; SM0603_Resistor;             
| R3         10k                             ; SM0603_Resistor;             
| R4         10k                             ; SM0603_Resistor;             
| R5         10k                             ; SM0603_Resistor;             
| R6         10k                             ; SM0603_Resistor;             
| R7         1k5                             ; SM0603_Resistor;             
| R8         10k                             ; SM0603_Resistor;             
| R9         1k5                             ; SM0603_Resistor;             
| R10        1M                              ; SM0603_Resistor;             
| R11        10k                             ; SM0603_Resistor;             
| R12        1k5                             ; SM0603_Resistor;             
| R13        1k5                             ; SM0603_Resistor;             
| R14        10k                             ; SM0603_Resistor;             
| R15        33R                             ; SM0603_Resistor;             
| R16        100k        ~                   ; SM0603_Resistor; ~           
| R17        100k        ~                   ; SM0603_Resistor; ~           
| R18        1k5                             ; SM0603_Resistor;             
| R19        33R                             ; SM0603_Resistor;             
| R20        100k                            ; SM0603_Resistor;             
| R21        1M                              ; SM0603_Resistor;             
| R22        1k5                             ; SM0603_Resistor;             
| R23        1k5                             ; SM0603_Resistor;             
| R24        274R                            ; SM0603_Resistor;             
| R25        274R                            ; SM0603_Resistor;             
| R26        100k                            ; SM0603_Resistor;             
| R27        100k                            ; SM0603_Resistor;             
| R28        4k7                             ; SM0603_Resistor;             
| R29        4k7                             ; SM0603_Resistor;             
| R30        100R                            ; SM0603_Resistor;             
| R31        100R                            ; SM0603_Resistor;             
| R32        100R                            ; SM0603_Resistor;             
| R33        100R                            ; SM0603_Resistor;             
| R34        10k                             ; SM0603_Resistor;             
| R35        10k                             ; SM0603_Resistor;             
| R36        10k                             ; SM0603_Resistor;             
| R37        10k                             ; SM0603_Resistor;             
| R38        6k8 1%                          ; SM0603_Resistor;             
| R39        100R                            ; SM0603_Resistor;             
| R40        10k                             ; SM0603_Resistor;             
| R41        10k                             ; SM0603_Resistor;             
| R42        6k8 1%                          ; SM0603_Resistor;             
| R43        680R                            ; SM0603_Resistor;             
| R44        2k2 1%                          ; SM0603_Resistor;             
| R45        4k7                             ; SM0603_Resistor;             
| R46        10k                             ; SM0603_Resistor;             
| R47        10k                             ; SM0603_Resistor;             
| R48        10k                             ; SM0603_Resistor;             
| R49        10k                             ; SM0603_Resistor;             
| R50        10k                             ; SM0603_Resistor;             
| R51        10k                             ; SM0603_Resistor;             
| R52        10k                             ; SM0603_Resistor;             
| R53        10k                             ; SM0603_Resistor;             
| R54        274R                            ; SM0603_Resistor;             
| R55        274R                            ; SM0603_Resistor;             
| R56        39k                             ; SM0603_Resistor;             
| R57        39k                             ; SM0603_Resistor;             
| R58        100k                            ; SM0603_Resistor;             
| R59        100k                            ; SM0603_Resistor;             
| R60        100k                            ; SM0603_Resistor;             
| R61        100k                            ; SM0603_Resistor;             
| R62        0R047                           ; SM1206      ;             
| R63        0R047                           ; SM1206      ;             
| R64        0R047                           ; SM1206      ;             
| R65        0R047                           ; SM1206      ;             
| R66        10k                             ; SM0603_Resistor;             
| R67        10k                             ; SM0603_Resistor;             
| R68        10k                             ; SM0603_Resistor;             
| R69        10k                             ; SM0603_Resistor;             
| R70        10k                             ; SM0603_Resistor;             
| R71        10k                             ; SM0603_Resistor;             
| R72        10k                             ; SM0603_Resistor;             
| R73        10k                             ; SM0603_Resistor;             
| R74        10k                             ; SM0603_Resistor;             
| R75        10k                             ; SM0603_Resistor;             
| R76        274R                            ; SM0603_Resistor;             
| R77        274R                            ; SM0603_Resistor;             
| R78        39k                             ; SM0603_Resistor;             
| R79        39k                             ; SM0603_Resistor;             
| R80        100k                            ; SM0603_Resistor;             
| R81        100k                            ; SM0603_Resistor;             
| R82        100k                            ; SM0603_Resistor;             
| R83        100k                            ; SM0603_Resistor;             
| R84        0R047                           ; SM1206      ;             
| R85        0R047                           ; SM1206      ;             
| R86        0R047                           ; SM1206      ;             
| R87        0R047                           ; SM1206      ;             
| R88        10k                             ; SM0603_Resistor;             
| R89        10k                             ; SM0603_Resistor;             
| R90        6k8                             ; SM0805      ;             
| R91        6k8                             ; SM0805      ;             
| R92        6k8                             ; SM0805      ;             
| R93        6k8                             ; SM0805      ;             
| R94        6k8                             ; SM0805      ;             
| R95        6k8                             ; SM0805      ;             
| R96        6k8                             ; SM0805      ;             
| R97        6k8                             ; SM0805      ;             
| R98        6k8                             ; SM0805      ;             
| R99        6k8                             ; SM0805      ;             
| R100       6k8                             ; SM0805      ;             
| R101       6k8                             ; SM0805      ;             
| R102       6k8                             ; SM0805      ;             
| R103       6k8                             ; SM0805      ;             
| R104       6k8                             ; SM0805      ;             
| R105       6k8                             ; SM0805      ;             
| R106       10k                             ; SM0603_Resistor;             
